Giong_Lua,Mat_Do_Sa,Nhiet_Do,Do_Am,Mau_La,Tinh_Trang_Benh,Phuong_Phap
JASMIN85,low,low,high,4,0,0
JASMIN85,low,high,high,3,0,0
JASMIN85,low,high,high,3,1,33
JASMIN85,low,high,high,3,2,34
JASMIN85,low,high,high,3,3,35
JASMIN85,low,high,high,3,4,36
JASMIN85,low,high,high,3,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
OM2717,low,low,low,4,0,0
OM2717,low,low,low,4,1,33
OM2717,low,low,low,4,2,34
OM2717,low,low,low,4,3,35
OM2717,low,low,low,4,4,36
OM2717,low,low,low,4,5,37
OM2517,low,high,high,5,0,0
OM2517,low,high,high,5,1,23
OM2517,low,high,high,5,2,24
OM2517,low,high,high,5,3,25
OM2517,low,high,high,5,4,26
OM2517,low,high,high,5,5,27
OM3240,low,high,high,4,0,0
OM3240,low,high,high,4,1,28
OM3240,low,high,high,4,2,29
OM3240,low,high,high,4,3,30
OM3240,low,high,high,4,4,31
OM3240,low,high,high,4,5,32
OM1490,low,high,high,4,0,0
OM1490,low,high,high,4,1,33
OM1490,low,high,high,4,2,34
OM1490,low,high,high,4,3,35
OM1490,low,high,high,4,4,36
OM1490,low,high,high,4,5,37
OM1490,low,low,high,3,0,0
OM1490,low,low,high,3,1,33
OM1490,low,low,high,3,2,34
OM1490,low,low,high,3,3,35
OM1490,low,low,high,3,4,36
OM1490,low,low,high,3,5,37
OM3240,low,low,high,4,0,0
OM3240,low,low,high,4,1,28
OM3240,low,low,high,4,2,29
OM3240,low,low,high,4,3,30
OM3240,low,low,high,4,4,31
OM3240,low,low,high,4,5,32
OM2717,low,high,high,3,0,0
OM2717,low,high,high,3,1,33
OM2717,low,high,high,3,2,34
OM2717,low,high,high,3,3,35
OM2717,low,high,high,3,4,36
OM2717,low,high,high,3,5,37
OM2717,low,high,high,4,0,0
OM2717,low,high,high,4,1,33
OM2717,low,high,high,4,2,34
OM2717,low,high,high,4,3,35
OM2717,low,high,high,4,4,36
OM2717,low,high,high,4,5,37
OM2517,low,high,high,4,0,0
OM2517,low,high,high,4,1,28
OM2517,low,high,high,4,2,29
OM2517,low,high,high,4,3,30
OM2517,low,high,high,4,4,31
OM2517,low,high,high,4,5,32
OM2717,low,high,high,3,0,0
OM2717,low,high,high,3,1,33
OM2717,low,high,high,3,2,34
OM2717,low,high,high,3,3,35
OM2717,low,high,high,3,4,36
OM2717,low,high,high,3,5,37
OMCS2000,low,high,high,3,0,0
OMCS2000,low,high,high,3,1,33
OMCS2000,low,high,high,3,2,34
OMCS2000,low,high,high,3,3,35
OMCS2000,low,high,high,3,4,36
OMCS2000,low,high,high,3,5,37
OM3240,low,high,low,4,0,0
OM3240,low,high,low,4,1,28
OM3240,low,high,low,4,2,29
OM3240,low,high,low,4,3,30
OM3240,low,high,low,4,4,31
OM3240,low,high,low,4,5,32
OM1490,low,high,high,2,0,0
OM1490,low,high,high,2,1,33
OM1490,low,high,high,2,2,34
OM1490,low,high,high,2,3,35
OM1490,low,high,high,2,4,36
OM1490,low,high,high,2,5,37
OM1490,low,high,high,3,0,0
OM1490,low,high,high,3,1,33
OM1490,low,high,high,3,2,34
OM1490,low,high,high,3,3,35
OM1490,low,high,high,3,4,36
OM1490,low,high,high,3,5,37
JASMIN85,low,high,high,5,0,0
JASMIN85,low,high,high,5,1,7
JASMIN85,low,high,high,5,2,8
JASMIN85,low,high,high,5,3,9
JASMIN85,low,high,high,5,4,10
JASMIN85,low,high,high,5,5,11
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
